type,bruteForce,branchAndBound
ZR,1832860,140446
ZR,1824983,265226
ZR,1895475,162496
ZR,1781594,135706
ZR,1761191,306941
ZR,1810337,283796
ZR,1834469,91714
ZR,1704064,270703
ZR,1780099,147375
ZR,1757176,304818
ZR,1845525,323872
ZR,1896826,276942
ZR,1830106,391546
ZR,1862306,172739
ZR,1696100,143972
ZR,1868465,296607
ZR,1824884,298251
ZR,1737153,220408
ZR,1893460,126638
ZR,1799173,149059
ZR,1919221,211843
ZR,1790981,234986
ZR,1750344,96170
ZR,1691270,100460
ZR,1822525,225191
ZR,1827395,346192
ZR,1838835,164106
ZR,1816130,413869
ZR,1880288,209660
ZR,1790052,211213
ZR,1857830,290714
ZR,1846077,99475
ZR,1756261,110912
ZR,1766374,35454
ZR,1780146,179590
ZR,1760638,170828
ZR,1905157,228122
ZR,1792556,203660
ZR,1772956,151867
ZR,1884993,132327
ZR,1868920,308502
ZR,1850153,179545
ZR,1897705,354388
ZR,1827804,69213
ZR,1733031,232357
ZR,1768906,248799
ZR,1818366,238748
ZR,1770319,204480
ZR,1837999,282650
ZR,1874814,200047
ZR,1812296,131262
ZR,1925074,226470
ZR,1786869,272275
ZR,1826106,122949
ZR,1809633,231015
ZR,1842661,181583
ZR,1808304,108880
ZR,1824284,315263
ZR,1839816,312871
ZR,1874164,259422
ZR,1888722,265740
ZR,1771182,233043
ZR,1738795,131804
ZR,1912205,135254
ZR,1890327,355183
ZR,1907835,151809
ZR,1868681,159595
ZR,1747604,170818
ZR,1839347,127762
ZR,1837517,204039
ZR,1871574,172445
ZR,1800873,262539
ZR,1867107,238384
ZR,1782831,310647
ZR,1791832,167928
ZR,1772517,246841
ZR,1786868,194460
ZR,1804290,105191
ZR,1910922,170402
ZR,1766008,202837
ZR,1842107,109603
ZR,1783413,125260
ZR,1719992,270287
ZR,1774056,486481
ZR,1876063,260207
ZR,1810489,183739
ZR,1853146,203962
ZR,1872638,173090
ZR,1881509,230141
ZR,1687596,52839
ZR,1746472,285638
ZR,1671804,88059
ZR,1765059,77226
ZR,1894555,233201
ZR,1789080,272797
ZR,1806608,92646
ZR,1820043,171786
ZR,1940038,226567
ZR,1769825,329724
ZR,1670899,151808
ZR,1874305,267842
ZR,1844466,203926
ZR,1796943,131225
ZR,1791283,244467
ZR,1854048,247677
ZR,1776285,364651
ZR,1781784,317660
ZR,1857823,49880
ZR,1828091,218301
ZR,1817560,429340
ZR,1780163,260609
ZR,1863763,259907
ZR,1863253,247244
ZR,1927091,305145
ZR,1811842,200435
ZR,1685400,71810
ZR,1738546,331774
ZR,1888612,271413
ZR,1821689,137263
ZR,1719268,120057
ZR,1875046,355569
ZR,1803361,503761
ZR,1679539,78756
ZR,1760210,267277
ZR,1722094,121871
ZR,1767836,257794
ZR,1855912,68434
ZR,1908610,214924
ZR,1883093,268722
ZR,1804796,256620
ZR,1784228,123901
ZR,1730223,105010
ZR,1763199,329374
ZR,1765069,66172
ZR,1851120,147710
ZR,1819693,257926
ZR,1890840,325907
ZR,1916798,204978
ZR,1842742,391015
ZR,1759872,336810
ZR,1840126,327828
ZR,1770787,145262
ZR,1718528,106887
ZR,1826052,347223
ZR,1808695,300695
ZR,1855941,191548
ZR,1913048,372322
ZR,1865194,85179
ZR,1860314,185804
ZR,1830162,392534
ZR,1925997,145944
ZR,1664577,160395
ZR,1871281,48294
ZR,1911304,190439
ZR,1813458,207040
ZR,1832339,145533
ZR,1852643,244864
ZR,1723015,187115
ZR,1663415,86438
ZR,1764774,66740
ZR,1890677,251399
ZR,1857145,99239
ZR,1836396,243093
ZR,1743381,217169
ZR,1840253,282016
ZR,1902052,187830
ZR,1852111,185910
ZR,1891923,294865
ZR,1831030,533831
ZR,1819272,210589
ZR,1807090,140347
ZR,1878700,187143
ZR,1812925,368859
ZR,1774194,440492
ZR,1780065,87718
ZR,1778104,431505
ZR,1700375,149428
ZR,1897289,259096
ZR,1811168,322971
ZR,1805425,82408
ZR,1739244,271869
ZR,1723525,123328
ZR,1906385,237407
ZR,1902488,163717
ZR,1802277,167602
ZR,1875994,50222
ZR,1841128,245777
ZR,1878324,291493
ZR,1735304,206601
ZR,1866303,249745
ZR,1851951,171501
ZR,1741244,309980
ZR,1724532,128492
ZR,1752068,24296
ZR,1809639,328259
ZR,1875821,347239
ZR,1772338,92825
ZR,1892551,272256
ZR,1847479,159172
ZR,1840207,146694
ZR,1709712,56858
ZR,1864419,166528
ZR,1846114,178951
ZR,1832514,315603
ZR,1791684,421947
ZR,1667852,204718
ZR,1783888,135945
ZR,1840114,148298
ZR,1839480,215965
ZR,1875794,180169
ZR,1929844,267838
ZR,1817730,176737
ZR,1811509,389520
ZR,1797928,333851
ZR,1938837,255478
ZR,1816914,443095
ZR,1804357,325756
ZR,1837029,430401
ZR,1784384,222519
ZR,1797229,207031
ZR,1818309,345414
ZR,1809813,205599
ZR,1729736,166300
ZR,1796070,149597
ZR,1908368,287952
ZR,1906735,257838
ZR,1766164,390275
ZR,1793768,126735
ZR,1807703,111474
ZR,1843179,217914
ZR,1711855,233641
ZR,1755274,260408
ZR,1855567,148307
ZR,1837064,197395
ZR,1907406,185152
ZR,1881415,174600
ZR,1773619,298657
ZR,1785615,128797
ZR,1881318,98940
ZR,1895692,116337
ZR,1840578,180462
ZR,1766150,83856
ZR,1863584,169930
ZR,1803855,125145
ZR,1761948,26981
ZR,1869330,211224
ZR,1886990,162496
ZR,1872701,395475
ZR,1812697,463468
ZR,1812533,450968
ZR,1859557,89765
ZR,1753664,78372
ZR,1820714,183943
ZR,1789996,105535
ZR,1811364,93280
ZR,1890567,161261
ZR,1882638,193537
ZR,1852261,100315
ZR,1802009,427737
ZR,1839547,486081
ZR,1890133,341864
ZR,1768872,392049
ZR,1784235,148213
ZR,1902292,301975
ZR,1789181,171751
ZR,1855517,333665
ZR,1921064,197151
ZR,1764425,144827
ZR,1840818,235202
ZR,1817591,262067
ZR,1863029,219202
ZR,1877988,256205
ZR,1785662,117635
ZR,1785041,301470
ZR,1881258,132929
ZR,1852463,122385
ZR,1839239,51692
ZR,1795532,260554
ZR,1888122,331457
ZR,1738493,169714
ZR,1801659,372394
ZR,1873399,148476
ZR,1837823,205123
ZR,1765426,141514
ZR,1869035,364643
ZR,1869594,277730
ZR,1854070,223677
ZR,1847922,318292
ZR,1736065,273938
ZR,1874889,154962
ZR,1683562,156508
ZR,1875175,170178
ZR,1666500,92045
ZR,1839516,182638
ZR,1776456,323444
ZR,1755535,282280
ZR,1865053,264315
ZR,1781281,173460
ZR,1736611,134936
ZR,1855231,330128
ZR,1834956,140960
ZR,1838356,236940
ZR,1767852,322199
ZR,1877589,289652
ZR,1815162,156762
ZR,1860660,145511
ZR,1897585,117995
ZR,1889209,323958
ZR,1744304,237575
ZR,1802933,138131
ZR,1803350,398501
ZR,1838084,337110
ZR,1919024,406075
ZR,1894556,373864
ZR,1841082,151012
ZR,1849996,229038
ZR,1787874,234437
ZR,1838419,208288
ZR,1915534,152900
ZR,1901955,356000
ZR,1847743,302410
ZR,1835672,351557
ZR,1776747,221501
ZR,1691385,52123
ZR,1784548,340159
ZR,1860682,340950
ZR,1820846,299685
ZR,1826788,162735
ZR,1833088,336649
ZR,1856004,281353
ZR,1865545,412617
ZR,1841045,262650
ZR,1876936,177969
ZR,1815140,154504
ZR,1852748,289269
ZR,1849712,238132
ZR,1840382,451537
ZR,1831466,431240
ZR,1835487,430062
ZR,1785282,175339
ZR,1737353,171775
ZR,1796875,154737
ZR,1838676,56945
ZR,1833911,366175
ZR,1836418,358832
ZR,1688274,77547
ZR,1842826,61579
ZR,1766965,144822
ZR,1875426,276006
ZR,1785322,211776
ZR,1788439,231385
ZR,1813538,52025
ZR,1818525,380076
ZR,1887416,145224
ZR,1779648,349301
ZR,1836378,206190
ZR,1831437,457056
ZR,1869665,254611
ZR,1820515,187583
ZR,1766340,146972
ZR,1752493,236098
ZR,1738698,178152
ZR,1907127,100368
ZR,1813398,346958
ZR,1831016,410016
ZR,1902169,417299
ZR,1898997,145106
ZR,1838159,236600
ZR,1899220,208956
ZR,1884013,385753
ZR,1804486,479151
ZR,1776710,292564
