n,measured_time_milliseconds,average_error,population_size,mutation_rate,crossover_rate,tournament_size,num_elites,crossover_type,num_generations
30,6991,0.0413908,30,0.01,0.95,6,1,ONE_POINT,30
30,11324,0.0363151,30,0.01,0.95,6,1,ONE_POINT,50
30,22541,0.028339,30,0.01,0.95,6,1,ONE_POINT,100
30,6762,0.036673,30,0.01,0.95,6,1,TWO_POINT,30
30,11542,0.0347227,30,0.01,0.95,6,1,TWO_POINT,50
30,31029,0.0277206,30,0.01,0.95,6,1,TWO_POINT,100
30,7174,0.0427882,30,0.01,0.95,6,3,ONE_POINT,30
30,13406,0.0367472,30,0.01,0.95,6,3,ONE_POINT,50
30,25539,0.0308227,30,0.01,0.95,6,3,ONE_POINT,100
30,7650,0.0406266,30,0.01,0.95,6,3,TWO_POINT,30
30,12292,0.0357911,30,0.01,0.95,6,3,TWO_POINT,50
30,22230,0.0267019,30,0.01,0.95,6,3,TWO_POINT,100
30,7031,0.0473263,30,0.01,0.95,6,5,ONE_POINT,30
30,11687,0.0405145,30,0.01,0.95,6,5,ONE_POINT,50
30,23068,0.0318972,30,0.01,0.95,6,5,ONE_POINT,100
30,6870,0.0398106,30,0.01,0.95,6,5,TWO_POINT,30
30,11254,0.0402591,30,0.01,0.95,6,5,TWO_POINT,50
30,22131,0.0299355,30,0.01,0.95,6,5,TWO_POINT,100
30,4970,0.0416218,30,0.05,0.8,2,1,ONE_POINT,30
30,8183,0.0310405,30,0.05,0.8,2,1,ONE_POINT,50
30,16487,0.0194952,30,0.05,0.8,2,1,ONE_POINT,100
30,4904,0.0420889,30,0.05,0.8,2,1,TWO_POINT,30
30,8033,0.0289692,30,0.05,0.8,2,1,TWO_POINT,50
30,15812,0.0169997,30,0.05,0.8,2,1,TWO_POINT,100
30,5097,0.0263624,30,0.05,0.8,2,3,ONE_POINT,30
30,8265,0.0189921,30,0.05,0.8,2,3,ONE_POINT,50
30,17411,0.0102982,30,0.05,0.8,2,3,ONE_POINT,100
30,4945,0.0278706,30,0.05,0.8,2,3,TWO_POINT,30
30,8054,0.0174483,30,0.05,0.8,2,3,TWO_POINT,50
30,20749,0.0113169,30,0.05,0.8,2,3,TWO_POINT,100
30,6659,0.0246248,30,0.05,0.8,2,5,ONE_POINT,30
30,11031,0.0144109,30,0.05,0.8,2,5,ONE_POINT,50
30,21699,0.00871236,30,0.05,0.8,2,5,ONE_POINT,100
30,6429,0.0253336,30,0.05,0.8,2,5,TWO_POINT,30
30,10802,0.0130509,30,0.05,0.8,2,5,TWO_POINT,50
30,21055,0.00826722,30,0.05,0.8,2,5,TWO_POINT,100
30,7891,0.0169932,30,0.05,0.8,4,1,ONE_POINT,30
30,13143,0.0105655,30,0.05,0.8,4,1,ONE_POINT,50
30,27856,0.00541806,30,0.05,0.8,4,1,ONE_POINT,100
30,7617,0.015709,30,0.05,0.8,4,1,TWO_POINT,30
30,11416,0.011346,30,0.05,0.8,4,1,TWO_POINT,50
30,22120,0.00471755,30,0.05,0.8,4,1,TWO_POINT,100
30,7909,0.0174143,30,0.05,0.8,4,3,ONE_POINT,30
30,13070,0.0118142,30,0.05,0.8,4,3,ONE_POINT,50
30,25700,0.00733601,30,0.05,0.8,4,3,ONE_POINT,100
30,7818,0.0170625,30,0.05,0.8,4,3,TWO_POINT,30
30,13165,0.00939744,30,0.05,0.8,4,3,TWO_POINT,50
30,25424,0.00598011,30,0.05,0.8,4,3,TWO_POINT,100
30,8472,0.0178684,30,0.05,0.8,4,5,ONE_POINT,30
30,15931,0.0105593,30,0.05,0.8,4,5,ONE_POINT,50
30,26243,0.0068272,30,0.05,0.8,4,5,ONE_POINT,100
30,7886,0.0203821,30,0.05,0.8,4,5,TWO_POINT,30
30,12543,0.0131714,30,0.05,0.8,4,5,TWO_POINT,50
30,25106,0.00699912,30,0.05,0.8,4,5,TWO_POINT,100
30,9160,0.0169535,30,0.05,0.8,6,1,ONE_POINT,30
30,15043,0.0101966,30,0.05,0.8,6,1,ONE_POINT,50
30,29562,0.00538538,30,0.05,0.8,6,1,ONE_POINT,100
30,9166,0.0146027,30,0.05,0.8,6,1,TWO_POINT,30
30,14889,0.0103293,30,0.05,0.8,6,1,TWO_POINT,50
30,28952,0.00560282,30,0.05,0.8,6,1,TWO_POINT,100
30,9120,0.0185484,30,0.05,0.8,6,3,ONE_POINT,30
30,15000,0.0128667,30,0.05,0.8,6,3,ONE_POINT,50
30,29784,0.0079944,30,0.05,0.8,6,3,ONE_POINT,100
30,9324,0.0154031,30,0.05,0.8,6,3,TWO_POINT,30
30,14778,0.0124735,30,0.05,0.8,6,3,TWO_POINT,50
30,29872,0.00667963,30,0.05,0.8,6,3,TWO_POINT,100
30,9165,0.0191037,30,0.05,0.8,6,5,ONE_POINT,30
30,15011,0.0128121,30,0.05,0.8,6,5,ONE_POINT,50
30,30017,0.00889174,30,0.05,0.8,6,5,ONE_POINT,100
30,9053,0.0177664,30,0.05,0.8,6,5,TWO_POINT,30
30,14860,0.0140041,30,0.05,0.8,6,5,TWO_POINT,50
30,29448,0.00781707,30,0.05,0.8,6,5,TWO_POINT,100
30,6543,0.0436997,30,0.05,0.9,2,1,ONE_POINT,30
30,10720,0.0313646,30,0.05,0.9,2,1,ONE_POINT,50
30,21208,0.0199806,30,0.05,0.9,2,1,ONE_POINT,100
30,6255,0.0410971,30,0.05,0.9,2,1,TWO_POINT,30
30,10531,0.0294353,30,0.05,0.9,2,1,TWO_POINT,50
30,20726,0.0189633,30,0.05,0.9,2,1,TWO_POINT,100
30,6544,0.0283525,30,0.05,0.9,2,3,ONE_POINT,30
30,10520,0.0190525,30,0.05,0.9,2,3,ONE_POINT,50
30,20998,0.0103718,30,0.05,0.9,2,3,ONE_POINT,100
30,6361,0.0272467,30,0.05,0.9,2,3,TWO_POINT,30
30,10308,0.0185645,30,0.05,0.9,2,3,TWO_POINT,50
30,20708,0.0106011,30,0.05,0.9,2,3,TWO_POINT,100
30,6506,0.024241,30,0.05,0.9,2,5,ONE_POINT,30
30,10731,0.013915,30,0.05,0.9,2,5,ONE_POINT,50
30,21312,0.00923794,30,0.05,0.9,2,5,ONE_POINT,100
30,6370,0.0222521,30,0.05,0.9,2,5,TWO_POINT,30
30,10624,0.0155219,30,0.05,0.9,2,5,TWO_POINT,50
30,20659,0.00869048,30,0.05,0.9,2,5,TWO_POINT,100
30,7655,0.0177458,30,0.05,0.9,4,1,ONE_POINT,30
30,12796,0.00885171,30,0.05,0.9,4,1,ONE_POINT,50
30,25221,0.00589489,30,0.05,0.9,4,1,ONE_POINT,100
30,7535,0.0159474,30,0.05,0.9,4,1,TWO_POINT,30
30,12468,0.00910712,30,0.05,0.9,4,1,TWO_POINT,50
30,24569,0.005228,30,0.05,0.9,4,1,TWO_POINT,100
30,7762,0.0161823,30,0.05,0.9,4,3,ONE_POINT,30
30,12881,0.0116221,30,0.05,0.9,4,3,ONE_POINT,50
30,25066,0.00612406,30,0.05,0.9,4,3,ONE_POINT,100
30,7669,0.0150573,30,0.05,0.9,4,3,TWO_POINT,30
30,12442,0.0106554,30,0.05,0.9,4,3,TWO_POINT,50
30,24888,0.00710237,30,0.05,0.9,4,3,TWO_POINT,100
30,7917,0.0194853,30,0.05,0.9,4,5,ONE_POINT,30
30,12854,0.0118579,30,0.05,0.9,4,5,ONE_POINT,50
30,25378,0.00639073,30,0.05,0.9,4,5,ONE_POINT,100
30,7677,0.0175731,30,0.05,0.9,4,5,TWO_POINT,30
30,12852,0.0109824,30,0.05,0.9,4,5,TWO_POINT,50
30,24741,0.00665221,30,0.05,0.9,4,5,TWO_POINT,100
30,9055,0.0129886,30,0.05,0.9,6,1,ONE_POINT,30
30,14951,0.00949728,30,0.05,0.9,6,1,ONE_POINT,50
30,29773,0.00457802,30,0.05,0.9,6,1,ONE_POINT,100
30,8969,0.0139045,30,0.05,0.9,6,1,TWO_POINT,30
30,14807,0.00930179,30,0.05,0.9,6,1,TWO_POINT,50
30,29339,0.00400859,30,0.05,0.9,6,1,TWO_POINT,100
30,9337,0.0169618,30,0.05,0.9,6,3,ONE_POINT,30
30,14967,0.0121922,30,0.05,0.9,6,3,ONE_POINT,50
30,29724,0.00724396,30,0.05,0.9,6,3,ONE_POINT,100
30,9262,0.0161686,30,0.05,0.9,6,3,TWO_POINT,30
30,14787,0.0108628,30,0.05,0.9,6,3,TWO_POINT,50
30,29272,0.00796603,30,0.05,0.9,6,3,TWO_POINT,100
30,9200,0.0169032,30,0.05,0.9,6,5,ONE_POINT,30
30,15423,0.0121077,30,0.05,0.9,6,5,ONE_POINT,50
30,29924,0.00789027,30,0.05,0.9,6,5,ONE_POINT,100
30,9134,0.0164929,30,0.05,0.9,6,5,TWO_POINT,30
30,15257,0.0135577,30,0.05,0.9,6,5,TWO_POINT,50
30,29825,0.00840689,30,0.05,0.9,6,5,TWO_POINT,100
30,6386,0.0417499,30,0.05,0.95,2,1,ONE_POINT,30
30,10547,0.0310567,30,0.05,0.95,2,1,ONE_POINT,50
30,21008,0.0204317,30,0.05,0.95,2,1,ONE_POINT,100
30,6315,0.0397926,30,0.05,0.95,2,1,TWO_POINT,30
30,10330,0.0300842,30,0.05,0.95,2,1,TWO_POINT,50
30,20652,0.016705,30,0.05,0.95,2,1,TWO_POINT,100
30,6662,0.0284422,30,0.05,0.95,2,3,ONE_POINT,30
30,10647,0.0185814,30,0.05,0.95,2,3,ONE_POINT,50
30,21408,0.0100619,30,0.05,0.95,2,3,ONE_POINT,100
30,6535,0.025343,30,0.05,0.95,2,3,TWO_POINT,30
30,14243,0.0183603,30,0.05,0.95,2,3,TWO_POINT,50
30,21280,0.00929086,30,0.05,0.95,2,3,TWO_POINT,100
30,8291,0.0237949,30,0.05,0.95,2,5,ONE_POINT,30
30,11330,0.0173572,30,0.05,0.95,2,5,ONE_POINT,50
30,21646,0.00795631,30,0.05,0.95,2,5,ONE_POINT,100
30,5913,0.0224664,30,0.05,0.95,2,5,TWO_POINT,30
30,9580,0.0151376,30,0.05,0.95,2,5,TWO_POINT,50
30,19202,0.00844509,30,0.05,0.95,2,5,TWO_POINT,100
30,7469,0.0168771,30,0.05,0.95,4,1,ONE_POINT,30
30,12472,0.00886871,30,0.05,0.95,4,1,ONE_POINT,50
30,24740,0.00480704,30,0.05,0.95,4,1,ONE_POINT,100
30,7250,0.015492,30,0.05,0.95,4,1,TWO_POINT,30
30,11857,0.0102478,30,0.05,0.95,4,1,TWO_POINT,50
30,23610,0.00632524,30,0.05,0.95,4,1,TWO_POINT,100
30,7419,0.0161019,30,0.05,0.95,4,3,ONE_POINT,30
30,12119,0.0107762,30,0.05,0.95,4,3,ONE_POINT,50
30,23790,0.00592922,30,0.05,0.95,4,3,ONE_POINT,100
30,7588,0.0156524,30,0.05,0.95,4,3,TWO_POINT,30
30,11800,0.0114251,30,0.05,0.95,4,3,TWO_POINT,50
30,23454,0.00616656,30,0.05,0.95,4,3,TWO_POINT,100
30,7391,0.0183241,30,0.05,0.95,4,5,ONE_POINT,30
